Accession,ClosestGenotype,ClosestGenotypePident,ClosestSubtype,ClosestSubtypePident,ReferenceOverlapAA,FullyCover,CoveredNS3RASPositions
KT235263,1,92.393,1a,93.133,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235264,1,93.238,1a,93.291,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235265,1,91.653,1a,92.235,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235270,1,92.921,1a,92.763,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235275,1,94.612,1a,94.295,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235276,1,93.027,1a,93.555,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235278,1,92.129,1a,93.397,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235279,1,79.725,1b,90.803,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235282,1,91.385,1a,91.860,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235283,1,80.264,1b,92.072,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235284,1,80.158,1b,91.385,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235286,1,93.344,1a,93.185,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235287,1,93.978,1a,94.559,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235291,1,79.683,1b,91.173,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235293,1,93.925,1a,94.083,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235298,1,95.721,1a,95.404,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235301,1,93.819,1a,93.714,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235303,1,79.589,1b,91.279,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235304,1,94.031,1a,93.819,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235308,1,79.589,1b,90.597,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235311,1,79.631,1b,90.063,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235313,1,94.083,1a,94.083,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235314,1,92.393,1a,92.287,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235315,1,93.340,1a,94.397,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235318,1,79.493,1b,90.169,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235320,1,96.355,1a,96.038,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235321,1,90.386,1a,91.231,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235322,1,90.438,1a,90.861,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235323,1,94.136,1a,94.400,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235324,1,93.608,1a,94.665,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235326,1,79.652,1b,91.121,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235328,1,91.389,1a,91.759,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235329,1,93.714,1a,94.351,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235331,1,95.140,1a,94.929,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235332,1,78.545,1b,89.482,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235335,1,78.967,1b,91.385,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235336,1,93.133,1a,93.714,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235337,1,92.076,1a,92.446,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235340,1,91.495,1a,91.759,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235343,1,90.438,1a,90.861,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235345,1,91.812,1a,92.235,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235346,1,93.397,1a,94.400,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235349,1,79.736,1b,91.332,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235350,1,79.020,1b,91.015,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235353,1,93.235,1a,93.288,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235355,1,93.185,1a,93.450,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235360,1,94.189,1a,94.348,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235362,1,93.608,1a,93.925,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235363,1,79.178,1b,90.803,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235364,1,94.612,1a,95.985,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235366,1,90.803,1a,90.803,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235367,1,94.506,1a,94.295,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235368,1,93.714,1a,94.982,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235369,1,92.182,1a,92.340,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235370,1,94.453,1a,94.559,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235371,1,93.133,1a,93.502,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235373,1,79.219,1b,91.706,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235374,1,79.483,1b,91.279,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235375,1,93.397,1a,93.397,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235376,1,79.261,1b,90.328,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235378,1,78.153,1b,89.905,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235381,1,95.140,1a,94.876,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235382,1,94.453,1a,94.929,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235383,1,79.747,1b,90.381,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235384,1,94.400,1a,94.823,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235385,1,92.548,1a,93.023,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235386,1,79.789,1b,91.068,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235387,1,91.125,1a,91.865,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235388,1,93.238,1a,93.608,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235389,1,95.140,1a,94.929,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235392,1,94.400,1a,94.612,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235393,1,92.604,1a,92.868,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235395,1,94.136,1a,95.510,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235398,1,94.982,1a,94.665,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235399,1,79.778,1b,90.122,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235400,1,78.809,1b,89.165,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235401,1,92.129,1a,92.710,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235402,1,80.432,1b,91.759,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235406,1,79.156,1b,89.588,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235408,1,93.446,1a,93.129,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235409,1,93.661,1a,95.246,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235410,1,79.789,1b,91.279,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235412,1,92.974,1a,92.604,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235414,1,94.031,1a,93.714,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235415,1,92.974,1a,92.657,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235416,1,94.400,1a,94.559,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235417,1,93.978,1a,94.770,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235419,1,94.189,1a,94.559,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235420,1,80.369,1b,91.121,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235421,1,94.136,1a,94.453,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235423,1,91.759,1a,91.970,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235424,1,79.884,1b,91.173,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235427,1,94.189,1a,95.034,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235428,1,92.178,1a,92.389,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235429,1,93.767,1a,94.242,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235430,1,92.287,1a,92.499,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235432,1,91.970,1a,92.129,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235433,1,79.968,1b,91.860,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235437,1,79.652,1b,90.698,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235438,1,92.604,1a,92.872,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235441,1,91.548,1a,91.759,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235443,1,94.929,1a,94.717,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235446,1,79.145,1b,90.703,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235448,1,80.548,1b,90.751,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235450,1,80.042,1b,90.391,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235451,1,80.528,1b,90.381,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235453,1,95.032,1a,94.767,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235455,1,92.816,1a,92.868,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235459,1,91.706,1a,91.706,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235460,1,91.759,1a,92.235,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235461,1,91.490,1a,92.230,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235463,1,93.238,1a,93.872,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235469,1,94.506,1a,95.140,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235470,1,94.929,1a,94.876,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235471,1,78.805,1b,89.218,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235473,1,79.228,1b,92.235,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235475,1,79.662,1b,89.746,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235476,1,78.975,1b,91.808,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235477,1,78.997,1b,89.112,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235478,1,79.461,1b,91.548,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235479,1,79.281,1b,92.710,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235480,1,79.070,1b,91.918,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235484,1,78.828,1b,89.646,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235485,1,78.945,1b,90.063,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235489,1,79.017,1b,89.910,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235490,1,78.850,1b,89.429,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235491,1,78.511,1b,90.116,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235493,1,79.556,1b,90.275,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235494,1,79.167,1b,89.588,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235502,1,79.725,1b,90.856,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235503,1,80.063,1b,91.178,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235504,1,78.786,1b,91.121,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235506,1,79.250,1b,90.011,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235510,1,79.800,1b,91.495,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235511,1,79.409,1b,90.011,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235512,1,78.575,1b,90.222,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235514,1,79.336,1b,91.226,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235516,1,79.020,1b,90.909,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235518,1,78.118,1b,89.165,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235519,1,78.300,1b,91.231,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235521,1,78.330,1b,92.129,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235522,1,78.500,1b,90.544,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235525,1,78.986,1b,90.174,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235526,1,79.800,1b,90.169,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235528,1,79.356,1b,90.539,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235529,1,79.545,1b,89.112,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235531,1,79.156,1b,89.059,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235532,1,80.169,1b,90.803,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235533,1,79.894,1b,90.328,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235534,1,78.933,1b,89.963,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235536,1,78.956,1b,91.759,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235539,1,78.933,1b,90.703,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235540,1,78.300,1b,90.116,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235541,1,79.070,1b,90.755,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235545,1,79.175,1b,90.280,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235547,1,78.881,1b,89.905,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235548,1,90.544,1a,91.288,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235551,1,79.020,1b,89.852,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235552,1,92.552,1a,92.921,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235556,1,78.745,1b,90.381,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235557,1,78.511,1b,90.856,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235561,1,79.156,1b,91.015,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235562,1,78.628,1b,90.275,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT235563,1,79.039,1b,90.328,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT595242,5,77.086,5a,78.141,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870159,1,79.578,1b,90.381,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870161,1,79.673,1b,90.491,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870163,1,79.178,1b,90.169,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870164,1,79.103,1b,89.588,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870165,1,79.842,1b,89.588,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870167,1,79.272,1b,90.486,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870168,1,80.148,1b,90.602,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870169,1,80.296,1b,91.438,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870170,1,80.296,1b,89.958,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870176,1,79.493,1b,90.222,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870178,1,79.820,1b,90.751,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870179,1,93.502,1a,93.555,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870180,1,78.364,1b,89.641,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870181,1,79.061,1b,90.063,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870183,1,80.222,1b,91.121,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870185,1,91.970,1a,92.129,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870187,1,93.552,1a,93.816,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870188,1,79.736,1b,90.645,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870189,1,78.405,1b,90.116,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870191,1,90.861,1a,91.337,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870194,1,78.481,1b,89.693,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870196,1,78.511,1b,89.641,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870199,1,79.356,1b,90.909,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870200,1,78.797,1b,90.275,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870202,1,79.336,1b,90.803,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870203,1,78.775,1b,90.063,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870204,1,79.725,1b,89.535,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870207,1,79.208,1b,90.169,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870212,1,78.734,1b,89.323,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870213,1,79.441,1b,90.698,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870214,1,90.914,1a,91.284,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870217,1,79.536,1b,90.433,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870219,1,79.673,1b,90.962,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870220,1,79.683,1b,90.222,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870221,1,77.866,1b,89.006,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870223,1,79.705,1b,90.962,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870224,1,90.967,1a,91.812,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870226,1,79.810,1b,89.006,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870227,1,91.865,1a,92.076,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870228,1,79.789,1b,91.438,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870229,1,79.494,1b,91.015,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870231,1,78.522,1b,88.531,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870233,1,79.652,1b,90.962,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870236,1,79.367,1b,91.438,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870238,1,79.441,1b,90.909,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870239,1,79.884,1b,89.905,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870242,1,91.548,1a,92.129,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870244,1,79.705,1b,90.433,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870247,1,89.699,1a,90.016,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870251,1,79.715,1b,89.641,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870252,1,91.865,1a,92.287,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870253,1,79.283,1b,90.011,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870257,1,94.189,1a,95.034,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870258,1,79.810,1b,90.011,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870259,1,79.272,1b,90.438,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870260,1,79.472,1b,90.011,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870261,1,79.778,1b,91.068,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870262,1,93.608,1a,93.925,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870265,1,80.179,1b,91.068,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870266,1,79.334,1b,90.174,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870267,1,80.285,1b,91.438,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870270,1,79.367,1b,89.905,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870271,1,79.219,1b,90.386,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870275,1,77.537,1b,87.744,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870276,1,91.653,1a,92.235,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870277,1,79.800,1b,90.063,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870278,1,79.536,1b,89.852,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870280,1,79.283,1b,90.174,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870281,1,78.914,1b,88.953,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870282,1,79.503,1b,90.063,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870283,1,92.499,1a,92.763,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870284,1,79.303,1b,90.597,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870286,1,92.340,1a,92.763,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870288,1,78.850,1b,90.016,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870289,1,94.982,1a,94.717,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870290,1,81.023,1b,91.543,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870291,1,78.767,1b,90.169,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870292,1,78.100,1b,89.376,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870297,1,79.631,1b,90.803,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870298,1,79.831,1b,90.703,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870301,1,79.314,1b,90.909,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870302,1,80.032,1b,91.068,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT870304,1,79.039,1b,90.169,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
