accession,genotype,subtype
KT234006,1,1b
KT234007,1,1a
KT234008,1,1b
KT234009,1,1a
KT234010,1,1a
KT234011,1,1b
KT234012,1,1b
KT234013,1,1b
KT234014,1,1b
KT234015,1,1b
KT234016,1,1b
KT234017,1,1b
KT234018,1,1b
KT234019,1,1a
KT234020,1,1a
KT234021,1,1b
KT234022,1,1b
KT234023,1,1b
KT234024,1,1b
KT234025,1,1b
KT234026,1,1b
KT234027,1,1b
KT234028,1,1b
KT234029,1,1b
KT234030,1,1b
KT234031,1,1b
KT234032,1,1b
KT234033,1,1b
KT234034,1,1b
KT234035,1,1b
KT234036,1,1b
KT234037,1,1b
KT234038,1,1b
KT234039,1,1b
KT234040,1,1b
KT234041,1,1b
KT234042,1,1b
KT234043,1,1b
KT234044,1,1b
KT234045,1,1b
KT234046,1,1b
KT234047,1,1b
KT234048,1,1b
KT234049,1,1b
KT234050,1,1b
KT234051,1,1b
KT234052,1,1b
KT234053,1,1b
KT234054,1,1b
KT234055,1,1b
KT234056,1,1b
KT234057,1,1b
KT234058,1,1b
KT234059,1,1b
KT234060,1,1b
KT234061,1,1b
KT234062,1,1b
KT234063,1,1b
KT234064,1,1b
KT234065,1,1b
KT234066,1,1b
KT234067,1,1b
KT234068,1,1b
KT234069,1,1b
KT234070,1,1b
KT234071,1,1b
KT234072,1,1b
KT234073,1,1b
KT234074,1,1b
KT234075,1,1b
KT234076,1,1b
KT234077,1,1b
KT234078,1,1b
KT234079,1,1b
KT234080,1,1b
KT234081,1,1b
KT234082,1,1b
KT234083,1,1b
KT234084,1,1b
KT234085,1,1b
KT234086,1,1b
KT234087,1,1b
KT234088,1,1b
KT234089,1,1b
KT234090,1,1b
KT234091,1,1b
KT234092,1,1b
KT234093,1,1b
KT234094,1,1b
KT234095,1,1b
KT234096,1,1b
KT234097,1,1b
KT234098,1,1b
KT234099,1,1b
KT234100,1,1b
KT234101,1,1b
KT234102,1,1b
KT234103,1,1b
KT234104,1,1b
KT234105,1,1b
KT234106,1,1b
KT234107,1,1b
KT234108,1,1b
KT234109,1,1b
KT234110,1,1b
KT234111,1,1b
KT234112,1,1b
KT234113,1,1a
KT234114,1,1a
KT234115,1,1b
KT234116,1,1b
KT234117,1,1a
KT234118,1,1b
KT234119,1,1b
KT234120,1,1b
KT234121,1,1a
KT234122,1,1b
KT234123,1,1a
KT234124,1,1a
KT234125,1,1b
KT234126,1,1a
KT234127,1,1a
KT234128,1,1a
KT234129,1,1b
KT234130,1,1a
KT234131,1,1a
KT234132,1,1b
KT234133,1,1b
KT234134,1,1b
KT234135,1,1b
KT234136,1,1a
KT234137,1,1b
KT234138,1,1b
KT234139,1,1b
KT234140,1,1b
KT234141,1,1b
KT234142,1,1b
KT234143,1,1b
KT234144,1,1b
KT234145,1,1b
KT234146,1,1a
KT234147,1,1b
KT234148,1,1b
KT234149,1,1b
KT234150,1,1b
KT234151,1,1b
KT234152,1,1b
KT234153,1,1b
KT234154,1,1b
KT234155,1,1b
KT234156,1,1b
KT234157,1,1a
KT234158,1,1b
KT234159,1,1b
KT234160,1,1b
KT234161,1,1b
KT234162,1,1b
KT234163,1,1a
KT234164,1,1b
KT234165,1,1b
KT234166,1,1b
KT234167,1,1a
KT234168,1,1b
KT234169,1,1b
KT234170,1,1b
KT234171,1,1b
KT234172,1,1b
KT234173,1,1b
KT234174,1,1a
KT234175,1,1b
KT234176,1,1a
KT234177,1,1a
KT234178,1,1a
KT234179,1,1b
KT234180,1,1a
KT234181,1,1a
KT234182,1,1b
KT234183,1,1b
KT234184,1,1b
KT234185,1,1b
KT234186,1,1b
KT234187,1,1a
KT234188,1,1b
KT234189,1,1a
KT234190,1,1a
KT234191,1,1b
KT234192,1,1a
KT234193,1,1a
KT234194,1,1a
KT234195,1,1b
KT234196,1,1a
KT234197,1,1b
KT234198,1,1b
KT234199,1,1b
KT234200,1,1b
KT234201,1,1b
KT234202,1,1b
KT234203,1,1a
KT234204,1,1b
KT234205,1,1b
KT234206,1,1b
KT234207,1,1b
KT234208,1,1b
KT234209,1,1b
KT234210,1,1b
KT234211,1,1b
KT234212,1,1b
KT234213,1,1a
KT234214,1,1b
KT234215,1,1b
KT234216,1,1a
KT234217,1,1b
KT234218,1,1b
KT234219,1,1b
KT234220,1,1a
KT234221,1,1b
KT234222,1,1a
KT234223,1,1a
KT234224,1,1b
KT234225,1,1b
KT234226,1,1a
KT234227,1,1a
KT234228,1,1a
KT234229,1,1a
KT234230,1,1b
KT234231,1,1a
KT234232,1,1a
KT234233,1,1b
KT234234,1,1a
KT234235,1,1b
KT234236,1,1b
KT234237,1,1b
KT234238,1,1b
KT234239,1,1a
KT234240,1,1b
KT234241,1,1a
KT234242,1,1a
KT234243,1,1a
KT234244,1,1a
KT234245,1,1a
KT234246,1,1a
KT234247,1,1a
KT234248,1,1a
KT234249,1,1a
KT234250,1,1a
KT234251,1,1a
KT234252,1,1a
KT234253,1,1a
KT234254,1,1a
KT234255,1,1a
KT234256,1,1a
KT234257,1,1a
KT234258,1,1b
KT234259,1,1a
KT234260,1,1a
KT234261,1,1b
KT234262,1,1a
KT234263,1,1a
KT234264,1,1a
KT234265,1,1a
KT234266,1,1a
KT234267,1,1a
KT234268,1,1a
KT234269,1,1a
KT234270,1,1a
KT234271,1,1b
KT234272,1,1a
KT234273,1,1a
KT234274,1,1a
KT234275,1,1b
KT234276,1,1b
KT234277,1,1a
KT234278,1,1a
KT234279,1,1a
KT234280,1,1a
KT234281,1,1a
KT234282,1,1a
KT234283,1,1a
KT234284,1,1b
KT234285,1,1a
KT234286,1,1b
KT234287,1,1a
KT234288,1,1b
KT234289,1,1a
KT234290,1,1a
KT234291,1,1b
KT234292,1,1b
KT234293,1,1a
KT234294,1,1b
KT234295,1,1a
KT234296,1,1a
KT234297,1,1a
KT234298,1,1a
KT234299,1,1a
KT234300,1,1b
KT234301,1,1a
KT234302,1,1b
KT234303,1,1a
KT234304,1,1a
KT234305,1,1a
KT234306,1,1a
KT234307,1,1b
KT234308,1,1b
KT234309,1,1a
KT234310,1,1a
KT234311,1,1b
KT234312,1,1b
KT234313,1,1a
KT234314,1,1a
KT234315,1,1a
KT234316,1,1a
KT234317,1,1a
KT234318,1,1b
KT234319,1,1a
KT234320,1,1a
KT234321,1,1a
KT234322,1,1a
KT234323,1,1a
KT234324,1,1a
KT234325,1,1b
KT234326,1,1a
KT234327,1,1b
KT234328,1,1b
KT234329,1,1a
KT234330,1,1b
KT234331,1,1a
KT234332,1,1a
KT234333,1,1a
KT234334,1,1a
KT234335,1,1a
KT234336,1,1a
KT234337,1,1a
KT234338,1,1a
KT234339,1,1b
KT234340,1,1b
KT234341,1,1a
KT234342,1,1a
KT234343,1,1a
KT234344,1,1a
KT234345,1,1a
KT234346,1,1b
KT234347,1,1b
KT234348,1,1b
KT234349,1,1b
KT234350,1,1b
KT234351,1,1b
KT234352,1,1b
KT234353,1,1b
KT234354,1,1b
KT234355,1,1b
KT234356,1,1b
KT234357,1,1a
KT234358,1,1a
KT234359,1,1b
KT234360,1,1a
KT234361,1,1a
KT234362,1,1a
KT234363,1,1b
KT234364,1,1a
KT234365,1,1b
KT234366,1,1b
KT234367,1,1a
KT234368,1,1a
KT234369,1,1a
KT234370,1,1a
KT234371,1,1a
KT234372,1,1a
KT234373,1,1b
KT234374,1,1b
KT234375,1,1a
KT234376,1,1a
KT234377,1,1b
KT234378,1,1a
KT234379,1,1a
KT234380,1,1a
KT234381,1,1b
KT234382,1,1b
KT234383,1,1a
KT234384,1,1b
KT234385,1,1a
KT234386,1,1a
KT234387,1,1b
KT234388,1,1a
KT234389,1,1a
KT234390,1,1a
KT234391,1,1a
KT234392,1,1a
KT234393,1,1a
KT234394,1,1a
KT234395,1,1a
KT234396,1,1a
KT234397,1,1b
KT234398,1,1b
KT234399,1,1a
KT234400,1,1a
KT234401,1,1a
KT234402,1,1a
KT234403,1,1a
KT234404,1,1a
KT234405,1,1a
KT234406,1,1a
KT234407,1,1a
KT234408,1,1a
KT234409,1,1b
KT234410,1,1a
KT234411,1,1a
KT234412,1,1a
KT234413,1,1a
KT234414,1,1a
KT234415,1,1a
KT234416,1,1a
KT234417,1,1a
KT234418,1,1a
KT234419,1,1b
KT234420,1,1b
KT234421,1,1a
KT234422,1,1a
KT234423,1,1a
KT234424,1,1a
KT234425,1,1a
KT234426,1,1a
KT234427,1,1a
KT234428,1,1b
KT234429,1,1a
KT234430,1,1a
KT234431,1,1a
KT234432,1,1a
KT234433,1,1a
KT234434,1,1a
KT234435,1,1a
KT234436,1,1b
KT234437,1,1b
KT234438,1,1a
KT234439,1,1a
KT234440,1,1a
KT234441,1,1b
KT234442,1,1a
KT234443,1,1a
KT234444,1,1a
KT234445,1,1b
KT234446,1,1a
KT234447,1,1a
KT234448,1,1a
KT234449,1,1a
KT234450,1,1a
KT234451,1,1a
KT234452,1,1b
KT234453,1,1a
KT234454,1,1a
KT234455,1,1b
KT234456,1,1a
KT234457,1,1b
KT234458,1,1a
KT234459,1,1a
KT234460,1,1a
KT234461,1,1b
KT234462,1,1a
KT234463,1,1a
KT234464,1,1a
KT234465,1,1b
KT234466,1,1a
KT234467,1,1b
KT234468,1,1a
KT234469,1,1b
KT234470,1,1a
KT234471,1,1a
KT234472,1,1b
KT234473,1,1a
KT234474,1,1b
KT234475,1,1a
KT234476,1,1a
KT234477,1,1a
KT234478,1,1b
KT234479,1,1a
KT234480,1,1a
KT234481,1,1a
KT234482,1,1b
KT234483,1,1b
KT234484,1,1a
KT234485,1,1a
KT234486,1,1a
KT234487,1,1a
KT234488,1,1b
KT234489,1,1a
KT234490,1,1a
KT234491,1,1a
KT234492,1,1b
KT234493,1,1b
KT234494,1,1a
KT234495,1,1a
KT234496,1,1a
KT234497,1,1a
KT234498,1,1a
KT234499,1,1a
KT234500,1,1a
KT234501,1,1a
KT234502,1,1a
KT234503,1,1a
KT234504,1,1a
KT234505,1,1a
KT234506,1,1a
KT234507,1,1b
KT234508,1,1b
KT234509,1,1a
KT234510,1,1a
KT234511,1,1b
KT234512,1,1b
KT234513,1,1a
KT234514,1,1a
KT234515,1,1a
KT234516,1,1b
KT234517,1,1a
KT234518,1,1b
KT234519,1,1b
KT234520,1,1a
KT234521,1,1a
KT234522,1,1a
KT234523,1,1a
KT234524,1,1a
KT234525,1,1a
KT234526,1,1a
KT234527,1,1a
KT234528,1,1a
KT234529,1,1a
KT234530,1,1a
KT234531,1,1a
KT234532,1,1a
KT234533,1,1a
KT234534,1,1b
KT234535,1,1a
KT234536,1,1b
KT234537,1,1a
KT234538,1,1a
KT234539,1,1b
KT234540,1,1a
KT234541,1,1b
KT234542,1,1b
KT234543,1,1b
KT234544,1,1b
KT234545,1,1b
KT234546,1,1a
KT234547,1,1a
KT234548,1,1b
KT234549,1,1b
KT234550,1,1a
KT234551,1,1a
KT234552,1,1a
KT234553,1,1a
KT234554,1,1a
KT234555,1,1b
KT234556,1,1a
KT234557,1,1a
KT234558,1,1a
KT234559,1,1a
KT234560,1,1a
KT234561,1,1a
KT234562,1,1b
KT234563,1,1b
KT234564,1,1a
KT234565,1,1a
KT234566,1,1a
KT234567,1,1a
KT234568,1,1b
KT234569,1,1b
KT234570,1,1a
KT234571,1,1b
KT234572,1,1a
KT234573,1,1a
KT234574,1,1a
KT234575,1,1a
KT234576,1,1a
KT234577,1,1b
KT234578,1,1b
KT234579,1,1b
KT234580,1,1b
KT234581,1,1b
KT234582,1,1a
KT234583,1,1a
KT234584,1,1b
KT234585,1,1b
KT234586,1,1a
KT234587,1,1b
KT234588,1,1b
KT234589,1,1b
KT234590,1,1a
KT234591,1,1a
KT234592,1,1a
KT234593,1,1a
KT234594,1,1a
KT234595,1,1a
KT234596,1,1b
KT234597,1,1a
KT234598,1,1b
KT234599,1,1b
KT234600,1,1b
KT234601,1,1b
KT234602,1,1b
KT234603,1,1b
KT234604,1,1b
KT234605,1,1a
KT234606,1,1b
KT234607,1,1a
KT234608,1,1b
KT234609,1,1b
KT234610,1,1b
KT234611,1,1b
KT234612,1,1b
KT234613,1,1b
KT234614,1,1b
KT234615,1,1b
KT234616,1,1a
KT234617,1,1b
KT234618,1,1a
KT234619,1,1b
KT234620,1,1a
KT234621,1,1b
KT234622,1,1b
KT234623,1,1b
KT234624,1,1a
KT234625,1,1b
KT234626,1,1b
KT234627,1,1b
KT234628,1,1b
KT234629,1,1b
KT234630,1,1a
KT234631,1,1b
KT234632,1,1a
KT234633,1,1b
KT234634,1,1a
KT234635,1,1b
KT234636,1,1b
KT234637,1,1b
KT234638,1,1a
KT234639,1,1b
KT234640,1,1a
KT234641,1,1a
KT234642,1,1a
KT234643,1,1a
KT234644,1,1a
KT234645,1,1b
KT234646,1,1b
KT234647,1,1a
KT234648,1,1b
KT234649,1,1a
KT234650,1,1b
KT234651,1,1a
KT234652,1,1a
KT234653,1,1b
KT234654,1,1a
KT234655,1,1b
KT234656,1,1b
KT234657,1,1a
KT234658,1,1b
KT234659,1,1a
KT234660,1,1a
KT234661,1,1a
KT234662,1,1a
KT234663,1,1b
KT234664,1,1b
KT234665,1,1a
KT234666,1,1a
KT234667,1,1a
KT234668,1,1a
KT234669,1,1a
KT234670,1,1b
KT234671,1,1b
KT234672,1,1a
KT234673,1,1a
KT234674,1,1b
KT234675,1,1a
KT234676,1,1a
KT234677,1,1a
KT234678,1,1b
KT234679,1,1b
KT234680,1,1b
KT234681,1,1a
KT234682,1,1b
KT234683,1,1b
KT234684,1,1b
KT234685,1,1b
KT234686,1,1b
KT234687,1,1a
KT234688,1,1b
KT234689,1,1a
KT234690,1,1a
KT234691,1,1a
KT234692,1,1b
KT234693,1,1b
KT234694,1,1a
KT234695,1,1b
KT234696,1,1b
KT234697,1,1b
KT234698,1,1b
KT234699,1,1b
KT234700,1,1b
KT234701,1,1b
KT234702,1,1a
KT234703,1,1b
KT234704,1,1b
KT234705,1,1b
KT234706,1,1b
KT234707,1,1b
KT234708,1,1b
KT234709,1,1b
KT234710,1,1b
KT234711,1,1b
KT234712,1,1a
KT234713,1,1b
KT234714,1,1a
KT234715,1,1a
KT234716,1,1b
KT234717,1,1a
KT234718,1,1a
KT234719,1,1b
KT234720,1,1b
KT234721,1,1b
KT234722,1,1a
KT234723,1,1a
KT234724,1,1a
KT234725,1,1a
KT234726,1,1b
KT234727,1,1b
KT234728,1,1b
KT234729,1,1a
KT234730,1,1a
KT234731,1,1a
KT234732,1,1a
KT234733,1,1a
KT234734,1,1a
KT234735,1,1a
KT234736,1,1b
KT234737,1,1a
KT234738,1,1a
KT234739,1,1b
KT234740,1,1a
KT234741,1,1a
KT234742,1,1b
KT234743,1,1a
KT234744,1,1b
KT234745,1,1a
KT234746,1,1a
KT234747,1,1b
KT234748,1,1b
KT234749,1,1b
KT234750,1,1b
KT234751,1,1b
KT234752,1,1b
KT234753,1,1b
KT234754,1,1b
KT234755,1,1b
KT234756,1,1b
KT234757,1,1b
KT234758,1,1b
KT234759,1,1b
KT234760,1,1b
KT234761,1,1b
KT234762,1,1b
KT234763,1,1b
KT234764,1,1b
KT234765,1,1b
KT234766,1,1b
KT234767,1,1b
KT234768,1,1b
KT234769,1,1b
KT234770,1,1b
KT234771,1,1b
KT234772,1,1b
KT234773,1,1b
KT234774,1,1b
KT234775,1,1b
KT234776,1,1b
KT234777,1,1b
KT234778,1,1b
KT234779,1,1b
KT234780,1,1b
KT234781,1,1b
KT234782,1,1b
KT234783,1,1b
KT234784,1,1b
KT234785,1,1b
KT234786,1,1b
KT234787,1,1b
KT234788,1,1b
KT234789,1,1b
KT234790,1,1b
KT234791,1,1b
KT234792,1,1b
KT234793,1,1b
KT234794,1,1b
KT234795,1,1b
KT234796,1,1b
KT234797,1,1b
KT234798,1,1b
KT234799,1,1b
KT234800,1,1a
KT234801,1,1b
KT234802,1,1b
KT234803,1,1b
KT234804,1,1b
KT234805,1,1b
KT234806,1,1b
KT234807,1,1b
KT234808,1,1a
KT234809,1,1a
KT234810,1,1a
KT234811,1,1a
KT234812,1,1b
KT234813,1,1b
KT234814,1,1a
KT234815,1,1a
KT234816,1,1a
KT234817,1,1a
KT234818,1,1a
KT234819,1,1a
KT234820,1,1b
KT234821,1,1b
KT234822,1,1b
KT234823,1,1b
KT234824,1,1b
KT234825,1,1b
KT234826,1,1b
KT234827,1,1b
KT234828,1,1b
KT234829,1,1b
KT234830,1,1b
KT234831,1,1b
KT234832,1,1b
KT234833,1,1b
KT234834,1,1b
KT234835,1,1b
KT234836,1,1b
KT234837,1,1b
KT234838,1,1b
KT234839,1,1b
KT234840,1,1b
KT234841,1,1b
KT234842,1,1b
KT234843,1,1a
KT234844,1,1a
KT234845,1,1a
KT234846,1,1a
KT234847,1,1b
KT234848,1,1b
KT234849,1,1b
KT234850,1,1b
KT234851,1,1b
KT234852,1,1a
KT234853,1,1b
KT234854,1,1b
KT234855,1,1b
KT234856,1,1b
KT234857,1,1b
KT234858,1,1b
KT234859,1,1b
KT234860,1,1b
KT234861,1,1a
KT234862,1,1b
KT234863,1,1b
KT234864,1,1b
KT234865,1,1a
KT234866,1,1b
KT234867,1,1b
KT234868,1,1a
KT234869,1,1b
KT234870,1,1b
KT234871,1,1b
KT234872,1,1b
KT234873,1,1b
KT234874,1,1b
KT234875,1,1b
KT234876,1,1b
KT234877,1,1b
KT234878,1,1b
KT234879,1,1b
KT234880,1,1b
KT234881,1,1b
KT234882,1,1b
KT234883,1,1a
KT234884,1,1a
KT234885,1,1a
KT234886,1,1b
KT234887,1,1b
KT234888,1,1b
KT234889,1,1a
KT234890,1,1a
KT234891,1,1a
KT234892,1,1a
KT234893,1,1b
KT234894,1,1a
KT234895,1,1b
KT234896,1,1b
KT234897,1,1b
KT234898,1,1b
KT234899,1,1b
KT234900,1,1b
KT234901,1,1b
KT234902,1,1b
KT234903,1,1b
KT234904,1,1b
KT234905,1,1b
KT234906,1,1b
KT234907,1,1b
KT234908,1,1b
KT234909,1,1b
KT234910,1,1b
KT234911,1,1b
KT234912,1,1b
KT234913,1,1b
KT234914,1,1b
KT234915,1,1b
KT234916,1,1b
KT234917,1,1b
KT234918,1,1b
KT234919,1,1b
KT234920,1,1b
KT234921,1,1b
KT234922,1,1b
KT234923,1,1b
KT234924,1,1b
KT234925,1,1b
KT234926,1,1b
KT234927,1,1b
KT234928,1,1b
KT234929,1,1b
KT234930,1,1b
KT234931,1,1b
KT234932,1,1b
KT234933,1,1b
KT234934,1,1b
KT234935,1,1b
KT234936,1,1b
KT234937,1,1b
KT234938,1,1b
KT234939,1,1b
KT234940,1,1b
KT234941,1,1b
KT234942,1,1b
KT234943,1,1b
KT234944,1,1b
KT234945,1,1b
KT234946,1,1b
KT234947,1,1b
KT234948,1,1b
KT234949,1,1b
KT234950,1,1b
KT234951,1,1b
KT234952,1,1b
KT234953,1,1b
KT234954,1,1b
KT234955,1,1b
KT234956,1,1b
KT234957,1,1b
KT234958,1,1b
KT234959,1,1b
KT234960,1,1b
KT234961,1,1b
KT234962,1,1b
KT234963,1,1b
KT234964,1,1b
KT234965,1,1b
KT234966,1,1b
KT234967,1,1b
KT234968,1,1a
KT234969,1,1b
KT234970,1,1b
KT234971,1,1b
KT234972,1,1b
KT234973,1,1b
KT234974,1,1b
KT234975,1,1b
KT234976,1,1b
KT234977,1,1b
KT234978,1,1b
KT234979,1,1b
KT234980,1,1b
KT234981,1,1b
KT234982,1,1b
KT234983,1,1b
KT234984,1,1b
KT234985,1,1b
KT234986,1,1b
KT234987,1,1b
KT234988,1,1b
KT234989,1,1b
KT234990,1,1b
KT234991,1,1b
KT234992,1,1b
KT234993,1,1b
KT234994,1,1b
KT234995,1,1b
KT234996,1,1b
KT234997,1,1b
KT234998,1,1a
KT234999,1,1b
KT235000,1,1b
KT235001,1,1a
KT235002,1,1b
KT235003,1,1b
KT235004,1,1b
KT235005,1,1a
KT235006,1,1a
KT235007,1,1a
KT235008,1,1b
KT235009,1,1a
KT235010,1,1b
KT235011,1,1b
KT235012,1,1b
KT235013,1,1a
KT235014,1,1a
KT235015,1,1a
KT235016,1,1a
KT235017,1,1b
KT235018,1,1b
KT235019,1,1a
KT235020,1,1b
KT235021,1,1b
KT235022,1,1b
KT235023,1,1a
KT235024,1,1a
KT235025,1,1b
KT235026,1,1a
KT235027,1,1a
KT235028,1,1a
KT235029,1,1b
KT235030,1,1b
KT235031,1,1b
KT235032,1,1a
KT235033,1,1b
KT235034,1,1a
KT235035,1,1a
KT235036,1,1b
KT235037,1,1b
KT235038,1,1a
KT235039,1,1a
KT235040,1,1b
KT235041,1,1b
KT235042,1,1a
KT235043,1,1a
KT235044,1,1b
KT235045,1,1b
KT235046,1,1b
KT235047,1,1b
KT235048,1,1b
KT235049,1,1b
KT235050,1,1b
KT235051,1,1b
KT235052,1,1a
KT235053,1,1b
KT235054,1,1b
KT235055,1,1a
KT235056,1,1a
KT235057,1,1b
KT235058,1,1a
KT235059,1,1b
KT235060,1,1b
KT235061,1,1b
KT235062,1,1a
KT235063,1,1b
KT235064,1,1a
KT235065,1,1a
KT235066,1,1a
KT235067,1,1a
KT235068,1,1a
KT235069,1,1a
KT235070,1,1a
KT235071,1,1a
KT235072,1,1a
KT235073,1,1b
KT235074,1,1a
KT235075,1,1b
KT235076,1,1a
KT235077,1,1a
KT235078,1,1a
KT235079,1,1a
KT235080,1,1a
KT235081,1,1a
KT235082,1,1a
KT235083,1,1a
KT235084,1,1a
KT235085,1,1a
KT235086,1,1b
KT235087,1,1a
KT235088,1,1a
KT235089,1,1a
KT235090,1,1a
KT235091,1,1a
KT235092,1,1a
KT235093,1,1b
KT235094,1,1b
KT235095,1,1b
KT235096,1,1a
KT235097,1,1a
KT235098,1,1b
KT235099,1,1b
KT235100,1,1b
KT235101,1,1a
KT235102,1,1b
KT235103,1,1b
KT235104,1,1a
KT235105,1,1b
KT235106,1,1b
KT235107,1,1b
KT235108,1,1b
KT235109,1,1a
KT235110,1,1a
KT235111,1,1b
KT235112,1,1a
KT235113,1,1a
KT235114,1,1b
KT235115,1,1b
KT235116,1,1a
KT235117,1,1a
KT235118,1,1b
KT235119,1,1a
KT235120,1,1a
KT235121,1,1a
KT235122,1,1b
KT235123,1,1a
KT235124,1,1a
KT235125,1,1a
KT235126,1,1a
KT235127,1,1b
KT235128,1,1b
KT235129,1,1a
KT235130,1,1b
KT235131,1,1a
KT235132,1,1a
KT235133,1,1b
KT235134,1,1b
KT235135,1,1a
KT235136,1,1a
KT235137,1,1a
KT235138,1,1a
KT235139,1,1a
KT235140,1,1a
KT235141,1,1b
KT235142,1,1a
KT235143,1,1a
KT235144,1,1b
KT235145,1,1b
KT235146,1,1a
KT235147,1,1a
KT235148,1,1a
KT235149,1,1b
KT235150,1,1a
KT235151,1,1a
KT235152,1,1a
KT235153,1,1b
KT235154,1,1a
KT235155,1,1a
KT235156,1,1a
KT235157,1,1b
KT235158,1,1b
KT235159,1,1b
KT235160,1,1b
KT235161,1,1a
KT235162,1,1b
KT235163,1,1b
KT235164,1,1a
KT235165,1,1b
KT235166,1,1a
KT235167,1,1a
KT235168,1,1b
KT235169,1,1a
KT235170,1,1b
KT235171,1,1b
KT235172,1,1b
KT235173,1,1a
KT235174,1,1b
KT235175,1,1a
KT235176,1,1a
KT235177,1,1a
KT235178,1,1a
KT235179,1,1b
KT235180,1,1a
KT235181,1,1b
KT235182,1,1a
KT235183,1,1a
KT235184,1,1a
KT235185,1,1a
KT235186,1,1b
KT235187,1,1a
KT235188,1,1a
KT235189,1,1a
KT235190,1,1b
KT235191,1,1a
KT235192,1,1b
KT235193,1,1a
KT235194,1,1a
KT235195,1,1a
KT235196,1,1a
KT235197,1,1a
KT235198,1,1a
KT235199,1,1a
KT235200,1,1b
KT235201,1,1b
KT235202,1,1a
KT235203,1,1b
KT235204,1,1a
KT235205,1,1a
KT235206,1,1a
KT235207,1,1a
KT235208,1,1a
KT235209,1,1a
KT235210,1,1a
KT235211,1,1a
KT235212,1,1a
KT235213,1,1a
KT235214,1,1b
KT235215,1,1a
KT235216,1,1b
KT235217,1,1a
KT235218,1,1b
KT235219,1,1a
KT235220,1,1a
KT235221,1,1a
KT235222,1,1b
KT235223,1,1b
KT235224,1,1a
KT235225,1,1a
KT235226,1,1a
KT235227,1,1a
KT235228,1,1a
KT235229,1,1a
KT235230,1,1a
KT235231,1,1b
KT235232,1,1a
KT235233,1,1a
KT235234,1,1a
KT235235,1,1a
KT235236,1,1a
KT235237,1,1a
KT235238,1,1a
KT235239,1,1a
KT235240,1,1a
KT235241,1,1b
KT235242,1,1a
KT235243,1,1a
KT235244,1,1a
KT235245,1,1a
KT235246,1,1a
KT235247,1,1a
KT235248,1,1a
KT235249,1,1a
KT235250,1,1b
KT235251,1,1b
KT235252,1,1a
KT235253,1,1b
KT235254,1,1a
KT235255,1,1a
KT235256,1,1a
KT235257,1,1a
KT235258,1,1b
KT235259,1,1a
KT235260,1,1a
KT235261,1,1a
KT235262,1,1a
KT235263,1,1a
KT235264,1,1a
KT235265,1,1a
KT235266,1,1b
KT235267,1,1a
KT235268,1,1a
KT235269,1,1a
KT235270,1,1a
KT235271,1,1a
KT235272,1,1a
KT235273,1,1a
KT235274,1,1a
KT235275,1,1a
KT235276,1,1a
KT235277,1,1a
KT235278,1,1a
KT235279,1,1b
KT235280,1,1b
KT235281,1,1b
KT235282,1,1a
KT235283,1,1b
KT235284,1,1b
KT235285,1,1b
KT235286,1,1a
KT235287,1,1a
KT235288,1,1a
KT235289,1,1a
KT235290,1,1a
KT235291,1,1b
KT235292,1,1a
KT235293,1,1a
KT235294,1,1a
KT235295,1,1a
KT235296,1,1a
KT235297,1,1a
KT235298,1,1a
KT235299,1,1a
KT235300,1,1a
KT235301,1,1a
KT235302,1,1a
KT235303,1,1b
KT235304,1,1a
KT235305,1,1a
KT235306,1,1b
KT235307,1,1b
KT235308,1,1b
KT235309,1,1a
KT235310,1,1a
KT235311,1,1b
KT235312,1,1a
KT235313,1,1a
KT235314,1,1a
KT235315,1,1a
KT235316,1,1a
KT235317,1,1b
KT235318,1,1b
KT235319,1,1b
KT235320,1,1a
KT235321,1,1a
KT235322,1,1a
KT235323,1,1a
KT235324,1,1a
KT235325,1,1a
KT235326,1,1b
KT235327,1,1a
KT235328,1,1a
KT235329,1,1a
KT235330,1,1b
KT235331,1,1a
KT235332,1,1b
KT235333,1,1a
KT235334,1,1b
KT235335,1,1b
KT235336,1,1a
KT235337,1,1a
KT235338,1,1b
KT235339,1,1b
KT235340,1,1a
KT235341,1,1a
KT235342,1,1a
KT235343,1,1a
KT235344,1,1a
KT235345,1,1a
KT235346,1,1a
KT235347,1,1b
KT235348,1,1a
KT235349,1,1b
KT235350,1,1b
KT235351,1,1b
KT235352,1,1a
KT235353,1,1a
KT235354,1,1a
KT235355,1,1a
KT235356,1,1a
KT235357,1,1a
KT235358,1,1a
KT235359,1,1a
KT235360,1,1a
KT235361,1,1a
KT235362,1,1a
KT235363,1,1b
KT235364,1,1a
KT235365,1,1a
KT235366,1,1a
KT235367,1,1a
KT235368,1,1a
KT235369,1,1a
KT235370,1,1a
KT235371,1,1a
KT235372,1,1b
KT235373,1,1b
KT235374,1,1b
KT235375,1,1a
KT235376,1,1b
KT235377,1,1b
KT235378,1,1b
KT235379,1,1a
KT235380,1,1b
KT235381,1,1a
KT235382,1,1a
KT235383,1,1b
KT235384,1,1a
KT235385,1,1a
KT235386,1,1b
KT235387,1,1a
KT235388,1,1a
KT235389,1,1a
KT235390,1,1a
KT235391,1,1a
KT235392,1,1a
KT235393,1,1a
KT235394,1,1a
KT235395,1,1a
KT235396,1,1a
KT235397,1,1a
KT235398,1,1a
KT235399,1,1b
KT235400,1,1b
KT235401,1,1a
KT235402,1,1b
KT235403,1,1a
