Accession,ClosestGenotype,ClosestSubtype,ReferenceOverlapAA,FullyCover
KC439515,1,1b,150-321,Yes
KC439516,1,1b,150-321,Yes
KC439517,1,1b,150-321,Yes
KC439518,1,1b,150-321,Yes
KC439519,1,1b,150-321,Yes
KC439520,1,1b,150-321,Yes
KC439521,1,1b,150-321,Yes
KC439522,1,1b,150-321,Yes
KC439523,1,1b,150-321,Yes
KC439524,1,1b,150-321,Yes
KC439525,1,1b,150-321,Yes
KC439526,1,1b,150-321,Yes
KC439527,1,1b,150-321,Yes
KC441467,3,3b,150-321,Yes
KC441468,3,3b,150-321,Yes
KC441469,3,3b,150-321,Yes
KC441470,3,3b,150-321,Yes
KC441471,3,3b,150-321,Yes
KC441472,3,3b,150-321,Yes
KC441473,3,3b,150-321,Yes
KC441474,3,3b,150-321,Yes
KC441475,3,3b,150-321,Yes
KC441476,3,3b,150-321,Yes
KC441477,6,6a,150-321,Yes
KC441478,6,6a,150-321,Yes
KC441479,6,6a,150-321,Yes
KC441480,6,6b,150-321,Yes
KC441481,6,6a,150-321,Yes
KC441482,6,6b,150-321,Yes
KC441483,6,6a,150-321,Yes
KC441484,6,6b,150-321,Yes
KC441485,6,6a,150-321,Yes
KC441486,6,6b,150-321,Yes
KC477398,,,,
KC506766,4,4k,238-321,
KC506767,4,4c,226-321,
KC506768,4,4k,226-321,
KC506769,4,4r,219-321,
KC506770,4,4c,219-321,
KC506771,4,4l,239-321,
KC506772,4,4k,226-321,
KC506773,4,4k,226-321,
KC506774,4,4l,220-321,
KC506775,4,4c,226-321,
KC506776,4,4r,234-321,
KC520829,2,2b,225-321,
KC520830,1,1b,225-321,
KC520831,3,3a,225-321,
KC520832,1,1a,225-321,
KC520833,1,1a,225-321,
KC520834,1,1a,225-321,
KC520835,3,3a,225-321,
KC520836,1,1b,225-321,
KC520837,2,2b,225-321,
KC520838,3,3a,225-321,
KC520839,2,2b,225-321,
KC520840,3,3a,225-321,
KC520841,2,2b,225-321,
KC520842,1,1b,225-321,
KC520843,3,3a,225-321,
KC520844,3,3a,225-321,
KC520845,1,1b,225-321,
KC520846,1,1a,225-321,
KC520847,3,3a,225-321,
KC520848,3,3a,225-321,
KC520849,3,3a,225-321,
KC520850,2,2b,225-321,
KC520851,1,1b,225-321,
KC520852,1,1b,225-321,
KC520853,2,2b,225-321,
KC520854,1,1b,225-321,
KC520855,1,1b,225-321,
KC533652,1,1b,150-321,Yes
KC533653,1,1b,150-321,Yes
KC533654,1,1b,150-321,Yes
KC533655,1,1b,150-321,Yes
KC533656,1,1b,150-321,Yes
KC533657,1,1b,150-321,Yes
KC533658,1,1b,150-321,Yes
KC533659,1,1b,150-321,Yes
KC533660,1,1b,150-321,Yes
KC533661,1,1b,150-321,Yes
KC533662,1,1b,150-321,Yes
KC533663,1,1b,150-321,Yes
KC533664,1,1b,150-321,Yes
KC533665,1,1b,150-321,Yes
KC533666,1,1b,150-321,Yes
KC533667,1,1b,150-321,Yes
KC533668,1,1b,150-321,Yes
KC533669,1,1b,150-321,Yes
KC533670,1,1b,150-321,Yes
KC533671,1,1b,150-321,Yes
KC533672,1,1b,150-321,Yes
KC533673,1,1b,150-321,Yes
KC533674,1,1b,150-321,Yes
KC533675,1,1b,150-321,Yes
KC533676,1,1b,150-321,Yes
KC533677,1,1b,150-321,Yes
KC533678,1,1b,150-321,Yes
KC533679,1,1b,150-321,Yes
KC533680,1,1b,150-321,Yes
KC591725,,,,
KC591726,,,,
KC591727,,,,
KC591728,,,,
KC591729,,,,
KC591730,,,,
KC591731,,,,
KC591732,,,,
KC591733,,,,
KC591734,,,,
KC591735,,,,
KC591736,,,,
KC591737,,,,
KC591738,,,,
KC591739,,,,
KC591740,,,,
KC591741,,,,
KC591742,,,,
KC591743,,,,
KC591744,,,,
KC591745,,,,
KC591746,,,,
KC591747,,,,
KC591748,,,,
KC591749,,,,
KC591750,,,,
KC591751,,,,
KC591752,,,,
KC591753,,,,
KC591754,,,,
KC591755,,,,
KC591756,,,,
KC591757,,,,
KC591758,,,,
KC591759,,,,
KC591760,,,,
KC591761,,,,
KC591762,,,,
KC591763,,,,
KC591764,,,,
KC591765,,,,
KC591766,,,,
KC591767,,,,
KC591768,,,,
KC632144,4,4a,226-321,
KC632145,2,2c,226-321,
KC632146,2,2c,226-321,
KC632147,2,2d,226-321,
KC632148,1,1n,232-321,
KC632149,2,2l,227-321,
KC632150,2,2a,226-321,
KC632151,2,2l,227-321,
KC632152,1,1o,238-321,
KC632153,2,2j,226-319,
KC767829,5,5b,150-321,Yes
KC767830,5,5b,150-321,Yes
KC767831,5,5b,150-321,Yes
KC767832,5,5b,150-321,Yes
KC767833,5,5b,150-321,Yes
KC767834,5,5b,150-321,Yes
KC770108,,,,
KC770109,,,,
KC770110,,,,
KC770111,,,,
KC770112,,,,
KC770113,,,,
KC770114,,,,
KC770115,,,,
KC770116,,,,
KC770117,,,,
KC770118,,,,
KC770119,,,,
KC770120,,,,
KC770121,,,,
KC770122,,,,
KC770123,,,,
KC770124,,,,
KC770125,,,,
KC770126,,,,
KC770127,,,,
KC770128,,,,
KC770129,,,,
KC770130,,,,
KC770131,,,,
KC770132,,,,
KC770133,,,,
KC770134,,,,
KC770135,,,,
KC770136,,,,
KC770137,,,,
KC770138,,,,
KC770139,,,,
KC770140,,,,
KC770141,,,,
KC770142,,,,
KC770143,,,,
KC770144,,,,
KC770145,,,,
KC770146,,,,
KC770147,,,,
KC770148,,,,
KC770149,,,,
KC770150,,,,
KC770151,,,,
KC770152,,,,
KC770153,,,,
KC770154,,,,
KC770155,,,,
KC770156,,,,
KC770157,,,,
KC770158,,,,
KC770159,,,,
KC770160,,,,
KC770161,,,,
KC770162,,,,
KC770163,,,,
KC770164,,,,
KC770165,,,,
KC770166,,,,
KC770167,,,,
KC770168,,,,
KC770169,,,,
KC770170,,,,
KC770171,,,,
KC770172,,,,
KC770173,,,,
KC770174,,,,
KC770175,,,,
KC770176,,,,
KC770177,,,,
KC770178,,,,
KC770179,,,,
KC770180,,,,
KC770181,,,,
KC770182,,,,
KC770183,,,,
KC770184,,,,
KC770185,,,,
KC770186,,,,
KC770187,,,,
KC770188,,,,
KC770189,,,,
KC770190,,,,
KC770191,,,,
KC770192,,,,
KC770193,,,,
KC770194,,,,
KC770195,,,,
KC770196,,,,
KC770197,,,,
KC770198,,,,
KC770199,,,,
KC770200,,,,
KC770201,,,,
KC770202,,,,
KC770203,,,,
KC770204,,,,
KC770205,,,,
KC770206,,,,
KC770207,,,,
KC770208,,,,
KC770209,,,,
KC770210,,,,
KC770211,,,,
KC770212,,,,
KC770213,,,,
KC770214,,,,
KC770215,,,,
KC770216,,,,
KC770217,,,,
KC770218,,,,
KC770219,,,,
KC770220,,,,
KC770221,,,,
KC770222,,,,
KC770223,,,,
KC770224,,,,
KC770225,,,,
KC770226,,,,
KC770227,,,,
KC770228,,,,
KC770229,,,,
KC770230,,,,
KC770231,,,,
KC770232,,,,
KC770233,,,,
KC770234,,,,
KC770235,,,,
KC770236,,,,
KC770237,,,,
KC770238,,,,
KC770239,,,,
KC770240,,,,
KC770241,,,,
KC770242,,,,
KC770243,,,,
KC770244,,,,
KC770245,,,,
KC770246,,,,
KC770247,,,,
KC770248,,,,
KC770249,,,,
KC770250,,,,
KC770251,,,,
KC770252,,,,
KC770253,,,,
KC770254,,,,
KC770255,,,,
KC770256,,,,
KC770257,,,,
KC770258,,,,
KC770259,,,,
KC770260,,,,
KC770261,,,,
KC770262,,,,
KC770263,,,,
KC770264,,,,
KC770265,,,,
KC770266,,,,
KC770267,,,,
KC770268,,,,
KC770269,,,,
KC770270,,,,
KC770271,,,,
KC770272,,,,
KC770273,,,,
KC770274,,,,
KC770275,,,,
KC770276,,,,
KC770277,,,,
KC770278,,,,
KC770279,,,,
KC770280,,,,
KC770281,,,,
KC770282,,,,
KC770283,,,,
KC770284,,,,
KC770285,,,,
KC770286,,,,
KC770287,,,,
KC770288,,,,
KC770289,,,,
KC770290,,,,
KC770291,,,,
KC770292,,,,
KC770293,,,,
KC770294,,,,
KC770295,,,,
KC770296,,,,
KC770297,,,,
KC770298,,,,
KC770299,,,,
KC770300,,,,
KC770301,,,,
KC770302,,,,
KC770303,,,,
KC770304,,,,
KC770305,,,,
KC770306,,,,
KC770307,,,,
KC770308,,,,
KC770309,,,,
KC770310,,,,
KC770311,,,,
KC770312,,,,
KC770313,,,,
KC770314,,,,
KC770315,,,,
KC770316,,,,
KC770317,,,,
KC770318,,,,
KC770319,,,,
KC770320,,,,
KC770321,,,,
KC770322,,,,
KC770323,,,,
KC770324,,,,
KC770325,,,,
KC770326,,,,
KC770327,,,,
KC770328,,,,
KC770329,,,,
KC770330,,,,
KC770331,,,,
KC770332,,,,
KC770333,,,,
KC770334,,,,
KC770335,,,,
KC770336,,,,
KC770337,,,,
KC770338,,,,
KC770339,,,,
KC770340,,,,
KC770341,,,,
KC770342,,,,
KC770343,,,,
KC770344,,,,
KC770345,,,,
KC770346,,,,
KC770347,,,,
KC770348,,,,
KC770349,,,,
KC770350,,,,
KC770351,,,,
KC770352,,,,
KC770353,,,,
KC770354,,,,
KC770355,,,,
KC770356,,,,
KC770357,,,,
KC770358,,,,
KC770359,,,,
KC770360,,,,
KC770361,,,,
KC770362,,,,
KC770363,,,,
KC770364,,,,
KC770365,,,,
KC770366,,,,
KC770367,,,,
KC770368,,,,
KC770369,,,,
KC770370,,,,
KC770371,,,,
KC770372,,,,
KC770373,,,,
KC770374,,,,
KC770375,,,,
KC770376,,,,
KC770377,,,,
KC770378,,,,
KC770379,,,,
KC770380,,,,
KC770381,,,,
KC770382,,,,
KC770383,,,,
KC770384,,,,
KC770385,,,,
KC770386,,,,
KC770387,,,,
KC770388,,,,
KC770389,,,,
KC770390,,,,
KC770391,,,,
KC770392,,,,
KC770393,,,,
KC770394,,,,
KC770395,,,,
KC770396,,,,
KC770397,,,,
KC770398,,,,
KC770399,,,,
KC770400,,,,
KC770401,,,,
KC770402,,,,
KC770403,,,,
KC770404,,,,
KC770405,,,,
KC770406,,,,
KC770407,,,,
KC770408,,,,
KC770409,,,,
KC770410,,,,
KC770411,,,,
KC770412,,,,
KC770413,,,,
KC770414,,,,
KC770415,,,,
KC770416,,,,
KC770417,,,,
KC770418,,,,
KC770419,,,,
KC770420,,,,
KC770421,,,,
KC770422,,,,
KC770423,,,,
KC770424,,,,
KC770425,,,,
KC770426,,,,
KC770427,,,,
KC770428,,,,
KC770429,,,,
KC770430,,,,
KC770431,,,,
KC770432,,,,
KC770433,,,,
KC770434,,,,
KC770435,,,,
KC770436,,,,
KC770437,,,,
KC770438,,,,
KC770439,,,,
KC770440,,,,
KC770441,,,,
KC770442,,,,
KC770443,,,,
KC770444,,,,
KC770445,,,,
KC770446,,,,
KC770447,,,,
KC770448,,,,
KC770449,,,,
KC770450,,,,
KC770451,,,,
KC770452,,,,
KC770453,,,,
KC770454,,,,
KC770455,,,,
KC770456,,,,
KC770457,,,,
KC770458,,,,
KC770459,,,,
KC770460,,,,
KC770461,,,,
KC770462,,,,
KC770463,,,,
KC770464,,,,
KC770465,,,,
KC770466,,,,
KC770467,,,,
KC770468,,,,
KC770469,,,,
KC770470,,,,
KC770471,,,,
KC770472,,,,
KC770473,,,,
KC770474,,,,
KC770475,,,,
KC770476,,,,
KC770477,,,,
KC770478,,,,
KC770479,,,,
KC770480,,,,
KC770481,,,,
KC770482,,,,
KC770483,,,,
KC770484,,,,
KC770485,,,,
KC770486,,,,
KC770487,,,,
KC770488,,,,
KC770489,,,,
KC770490,,,,
KC770491,,,,
KC770492,,,,
KC770493,,,,
KC770494,,,,
KC770495,,,,
KC770496,,,,
KC770497,,,,
KC770498,,,,
KC770499,,,,
KC770500,,,,
KC770501,,,,
KC770502,,,,
KC770503,,,,
KC770504,,,,
KC770505,,,,
KC770506,,,,
KC770507,,,,
KC770508,,,,
KC770509,,,,
KC770510,,,,
KC770511,,,,
KC770512,,,,
KC770513,,,,
KC770514,,,,
KC770515,,,,
KC770516,,,,
KC770517,,,,
KC770518,,,,
KC770519,,,,
KC770520,,,,
KC770521,,,,
KC770522,,,,
KC770523,,,,
KC770524,,,,
KC770525,,,,
KC770526,,,,
KC770527,,,,
KC770528,,,,
KC770529,,,,
KC770530,,,,
KC770531,,,,
KC770532,,,,
KC770533,,,,
KC770534,,,,
KC770535,,,,
KC770536,,,,
KC770537,,,,
KC770538,,,,
KC770539,,,,
KC770540,,,,
KC770541,,,,
KC770542,,,,
KC770543,,,,
KC770544,,,,
KC770545,,,,
KC770546,,,,
KC770547,,,,
KC770548,,,,
KC770549,,,,
KC770550,,,,
KC770551,,,,
KC770552,,,,
KC770553,,,,
KC770554,,,,
KC770555,,,,
KC770556,,,,
KC770557,,,,
KC770558,,,,
KC770559,,,,
KC770560,,,,
KC770561,,,,
KC770562,,,,
KC770563,,,,
KC770564,,,,
KC770565,,,,
KC770566,,,,
KC770567,,,,
KC770568,,,,
KC770569,,,,
KC770570,,,,
KC770571,,,,
KC770572,,,,
KC770573,,,,
KC770574,,,,
KC770575,,,,
KC770576,,,,
KC770577,,,,
KC770578,,,,
KC770579,,,,
KC770580,,,,
KC770581,,,,
KC770582,,,,
KC770583,,,,
KC770584,,,,
KC770585,,,,
KC770586,,,,
KC770587,,,,
KC770588,,,,
KC770589,,,,
KC770590,,,,
KC770591,,,,
KC770592,,,,
KC770593,,,,
KC770594,,,,
KC770595,,,,
KC770596,,,,
KC770597,,,,
KC770598,,,,
KC770599,,,,
KC770600,,,,
KC770601,,,,
KC770602,,,,
KC770603,,,,
KC770604,,,,
KC770605,,,,
KC770606,,,,
KC770607,,,,
KC770608,,,,
KC770609,,,,
KC770610,,,,
KC770611,,,,
KC770612,,,,
KC770613,,,,
KC770614,,,,
KC770615,,,,
KC770616,,,,
KC770617,,,,
KC770618,,,,
KC770619,,,,
KC770620,,,,
KC770621,,,,
KC770622,,,,
KC770623,,,,
KC770624,,,,
KC770625,,,,
KC770626,,,,
KC770627,,,,
KC770628,,,,
KC770629,,,,
KC770630,,,,
KC770631,,,,
KC770632,,,,
KC770633,,,,
KC770634,,,,
KC770635,,,,
KC770636,,,,
KC770637,,,,
KC770638,,,,
KC770639,,,,
KC770640,,,,
KC770641,,,,
KC770642,,,,
KC770643,,,,
KC770644,,,,
KC770645,,,,
KC770646,,,,
KC770647,,,,
KC770648,,,,
KC770649,,,,
KC770650,,,,
KC770651,,,,
KC770652,,,,
KC770653,,,,
KC770654,,,,
KC770655,,,,
KC770656,,,,
KC770657,,,,
KC770658,,,,
KC770659,,,,
KC770660,,,,
KC770661,,,,
KC770662,,,,
KC770663,,,,
KC770664,,,,
KC770665,,,,
KC770666,,,,
KC770667,,,,
KC770668,,,,
KC770669,,,,
KC770670,,,,
KC770671,,,,
KC770672,,,,
KC770673,,,,
KC770674,,,,
KC770675,,,,
KC770676,,,,
KC770677,,,,
KC770678,,,,
KC770679,,,,
KC770680,,,,
KC770681,,,,
KC770682,,,,
KC770683,,,,
KC770684,,,,
KC770685,,,,
KC770686,,,,
KC770687,,,,
KC770688,,,,
KC770689,,,,
KC770690,,,,
KC770691,,,,
KC770692,,,,
KC770693,,,,
KC770694,,,,
KC770695,,,,
KC770696,,,,
KC770697,,,,
KC770698,,,,
KC770699,,,,
KC770700,,,,
KC770701,,,,
KC770702,,,,
KC770703,,,,
KC770704,,,,
KC770705,,,,
KC770706,,,,
KC770707,,,,
KC770708,,,,
KC770709,,,,
KC770710,,,,
KC770711,,,,
KC770712,,,,
KC770713,,,,
KC770714,,,,
KC770715,,,,
KC770716,,,,
KC770717,,,,
KC770718,,,,
KC770719,,,,
KC770720,,,,
KC770721,,,,
KC770722,,,,
KC770723,,,,
KC770724,,,,
KC770725,,,,
KC770726,,,,
KC770727,,,,
KC770728,,,,
KC770729,,,,
KC770730,,,,
KC770731,,,,
KC770732,,,,
KC770733,,,,
KC770734,,,,
KC770735,,,,
KC770736,,,,
KC770737,,,,
KC770738,,,,
KC770739,,,,
KC770740,,,,
KC770741,,,,
KC770742,,,,
KC770743,,,,
KC770744,,,,
KC770745,,,,
KC770746,,,,
KC770747,,,,
KC770748,,,,
KC770749,,,,
KC770750,,,,
KC770751,,,,
KC770752,,,,
KC770753,,,,
KC770754,,,,
KC770755,,,,
KC770756,,,,
KC770757,,,,
KC770758,,,,
KC770759,,,,
KC770760,,,,
KC770761,,,,
KC770762,,,,
KC770763,,,,
KC770764,,,,
KC770765,,,,
KC770766,,,,
KC770767,,,,
KC770768,,,,
KC770769,,,,
KC770770,,,,
KC770771,,,,
KC770772,,,,
KC770773,,,,
KC770774,,,,
KC770775,,,,
KC784324,,,,
KC784325,,,,
KC784326,,,,
KC784327,,,,
KC784328,,,,
KC784329,,,,
KC784330,,,,
KC784331,,,,
KC784332,,,,
KC784333,,,,
KC784334,,,,
KC784335,,,,
KC784336,,,,
KC784337,,,,
KC784338,,,,
KC784339,,,,
KC784340,,,,
KC784341,,,,
KC825339,,,,
KC832761,1,1a,316-321,
KC832762,1,1a,316-321,
KC832763,1,1a,316-321,
KC832764,1,1a,316-321,
KC832765,1,1a,316-321,
KC832766,1,1a,316-321,
KC832767,1,1a,316-321,
KC832768,1,1a,316-321,
KC832769,1,1a,316-321,
KC832770,1,1a,316-321,
KC832771,1,1a,316-321,
KC832772,1,1a,316-321,
KC832773,1,1a,316-321,
KC832774,1,1a,316-321,
KC832775,1,1a,316-321,
KC832776,1,1a,316-321,
KC832777,1,1a,316-321,
KC844037,6,6b,150-321,Yes
KC844038,6,6b,150-321,Yes
KC844039,6,6b,150-321,Yes
KC844040,6,6b,150-321,Yes
KC844041,3,3a,150-321,Yes
KC844042,2,2f,150-321,Yes
KC844043,2,2a,150-321,Yes
KC844044,3,3b,150-321,Yes
KC844045,4,4a,150-321,Yes
KC844046,5,5b,150-321,Yes
KC844047,1,1c,150-321,Yes
KC844048,2,2b,150-321,Yes
KC844049,1,1a,150-321,Yes
KC844050,2,2f,150-321,Yes
KC844051,1,1b,150-321,Yes
KC844052,1,1b,150-321,Yes
KC845146,,,,
KC845147,,,,
KC845148,,,,
KC845149,,,,
KC845150,,,,
KC845151,,,,
KC845152,,,,
KC845153,,,,
KC845154,,,,
KC845155,,,,
KC845156,,,,
KC845157,,,,
KC845158,,,,
KC845159,,,,
KC845160,,,,
KC845161,,,,
KC845162,,,,
KC845163,,,,
KC845164,,,,
KC845165,,,,
KC845166,,,,
KC845167,,,,
KC845168,,,,
KC845169,,,,
KC845170,,,,
KC845171,,,,
KC845172,,,,
KC845173,,,,
KC845174,,,,
KC845175,,,,
KC845176,,,,
KC845177,,,,
KC845178,,,,
KC845179,,,,
KC845180,,,,
KC845181,,,,
KC845182,,,,
KC845183,,,,
KC845184,,,,
KC845185,,,,
KC845186,,,,
KC845187,,,,
KC845188,,,,
KC845189,,,,
KC845190,,,,
KC845191,,,,
KC845192,,,,
KC845193,,,,
KC862309,,,,
KC878938,6,6n,243-321,
KC878939,6,6a,243-321,
KC878940,3,3b,241-321,
KC878941,2,2a,241-321,
KC878942,1,1b,241-321,
KC878943,1,1b,241-321,
KC878944,3,3a,241-321,
KC878945,1,1b,241-321,
KC878946,1,1b,241-321,
KC878947,6,6a,241-321,
KC878948,1,1b,241-321,
KC878949,1,1b,241-321,
KC878950,1,1b,241-321,
KC878951,1,1b,241-321,
KC878952,2,2a,241-321,
KC878953,1,1b,241-321,
KC878954,2,2a,241-321,
KC878955,2,2a,241-321,
KC878956,6,6a,241-321,
KC878957,2,2a,241-321,
KC878958,3,3b,241-321,
KC878959,1,1b,241-321,
KC878960,1,1b,241-321,
KC878961,3,3b,241-321,
KC878962,1,1b,241-321,
KC878963,1,1b,241-321,
KC878964,1,1b,241-321,
KC878965,1,1b,241-321,
KC878966,1,1b,241-321,
KC878967,2,2a,242-321,
KC878968,1,1b,241-321,
KC878969,1,1b,241-321,
KC878970,1,1b,241-321,
KC878971,3,3b,241-321,
KC878972,1,1b,241-321,
KC878973,1,1b,241-321,
KC878974,1,1b,241-321,
KC878975,1,1b,241-321,
KC878976,1,1b,241-321,
KC878977,1,1b,241-321,
KC878978,1,1b,241-321,
KC878979,1,1b,241-321,
KC878980,1,1b,241-321,
KC878981,1,1b,241-321,
KC878982,3,3b,241-321,
KC878983,6,6n,243-321,
KC878984,3,3b,241-321,
KC878985,1,1b,241-321,
KC878986,1,1b,241-321,
KC878987,1,1b,241-321,
KC878988,1,1b,241-321,
KC878989,1,1b,241-321,
KC878990,2,2a,241-321,
KC878991,1,1b,241-321,
KC878992,1,1b,241-321,
KC878993,1,1b,241-321,
KC878994,1,1b,241-321,
KC878995,3,3a,241-321,
KC878996,2,2a,241-321,
KC878997,1,1b,241-321,
KC878998,1,1b,241-321,
KC878999,1,1b,241-321,
KC879000,2,2a,241-321,
KC879001,1,1b,241-321,
KC879002,1,1b,241-321,
KC879003,1,1b,241-321,
KC879004,1,1b,241-321,
KC879005,2,2a,241-321,
KC879006,2,2a,241-321,
KC879007,2,2a,241-321,
KC879008,1,1b,241-321,
KC879009,1,1b,242-321,
KC879010,1,1b,242-321,
KC879011,1,1b,241-321,
KC879012,2,2a,241-321,
KC879013,2,2a,241-321,
KC879014,3,3b,241-321,
KC879015,1,1b,241-321,
KC879016,1,1b,241-321,
KC879017,2,2a,241-321,
KC879018,1,1b,241-321,
KC879019,1,1b,241-321,
KC879020,1,1b,241-321,
KC879021,1,1b,241-321,
KC879022,1,1b,241-321,
KC879023,1,1b,241-321,
KC879024,1,1b,241-321,
KC879025,6,6a,241-321,
KC879026,1,1b,241-321,
KC879027,2,2a,241-321,
KC879028,3,3a,241-321,
KC879029,6,6a,241-321,
KC879030,3,3b,241-321,
KC960555,3,3a,229-321,
KC960765,1,1d,228-321,
KC960766,1,1d,228-321,
KC960767,1,1d,228-321,
KC960768,1,1d,228-321,
KC960769,1,1i,228-321,
KC960770,1,1i,228-321,
KC960771,1,1i,228-321,
KC960772,1,1d,228-321,
KC960773,1,1i,228-321,
KC960774,1,1b,228-321,
KC960775,1,1b,228-321,
KC960776,1,1b,228-321,
KC960777,1,1b,228-321,
KC960778,1,1b,228-321,
KC960779,1,1b,228-321,
KC960780,1,1b,228-321,
KC960781,1,1d,228-321,
KC960782,1,1b,228-321,
KC960783,1,1d,228-321,
KC960784,1,1e,243-321,
KC960785,1,1e,228-321,
KC960786,1,1e,228-321,
KC960787,1,1e,228-321,
KC960788,1,1e,228-321,
KC960789,1,1d,228-321,
KC960790,1,1e,228-321,
KC960791,1,1e,228-321,
KC960792,1,1e,228-321,
KC960793,1,1e,228-321,
KC960794,1,1e,228-321,
KC960795,1,1e,228-321,
KC960796,1,1e,228-321,
KC960797,1,1e,228-321,
KC960798,1,1d,228-321,
KC960799,1,1g,228-321,
KC960800,1,1g,228-321,
KC960801,1,1g,228-321,
KC960802,1,1a,228-321,
KC960803,1,1a,228-321,
KC960804,1,1a,228-321,
KC960805,1,1a,228-321,
KC960806,1,1a,228-321,
KC960807,1,1a,228-321,
KC960808,1,1d,228-321,
KC960809,1,1a,228-321,
KC960810,1,1a,228-321,
KC960811,1,1a,238-321,
KC960812,1,1l,228-321,
KC960813,1,1l,228-321,
KC960814,1,1l,228-321,
KC960815,1,1d,228-321,
KC960816,1,1l,228-321,
KC960817,1,1l,228-321,
KC960818,1,1o,228-321,
KC960819,1,1o,228-321,
KC960820,1,1h,232-321,
KC960821,1,1h,228-321,
KC960822,1,1h,232-321,
KC960823,1,1d,228-321,
KC960824,1,1d,228-321,
KC960825,,,,
KC960826,,,,
KC960827,,,,
KC960828,,,,
KC960829,,,,
KC960830,,,,
KC960831,,,,
KC960832,,,,
KC960833,,,,
KC960834,,,,
KC960835,,,,
KC960836,,,,
KC960837,,,,
KC960838,,,,
KC960839,,,,
KC960840,,,,
KC960841,,,,
KC960842,,,,
KC960843,,,,
KC960844,,,,
KC960845,,,,
KC960846,,,,
KC960847,,,,
KC960848,,,,
KC960849,,,,
KC960850,,,,
KC960851,,,,
KC960852,,,,
KC960853,,,,
KC960854,,,,
KC960855,,,,
KC960856,,,,
KC960857,,,,
KC960858,,,,
KC960859,,,,
KC960860,,,,
KC960861,,,,
KC960862,,,,
KC960863,,,,
KC960864,,,,
KC960865,,,,
KC960866,,,,
KC960867,,,,
KC960868,,,,
KC960869,,,,
KC960870,,,,
KC960871,,,,
KC960872,,,,
KC960873,,,,
KC960874,,,,
KC960875,,,,
KC960876,,,,
KC960877,,,,
KC960878,,,,
KC960879,,,,
KC960880,,,,
KC960881,,,,
KC960882,,,,
KC960883,,,,
KC960884,,,,
KC967222,3,3a,235-321,
KC967476,2,2a,150-321,Yes
KC967477,2,2a,150-321,Yes
KC967478,2,2a,150-321,Yes
KC967479,2,2a,150-321,Yes
KC995280,3,3a,234-321,
KC995281,3,3a,235-321,
KC995282,3,3a,226-321,
KF006852,3,3a,227-319,
KF006853,3,3a,225-321,
KF006854,3,3a,231-321,
KF006982,,,,
KF006983,,,,
KF006984,,,,
KF011281,,,,
KF011282,,,,
KF011283,,,,
KF011284,,,,
KF011285,,,,
KF011286,,,,
KF011287,,,,
KF011288,,,,
KF011289,,,,
KF011290,,,,
KF011291,,,,
KF011292,,,,
KF011293,,,,
KF011294,,,,
KF011295,,,,
KF011296,,,,
KF011297,,,,
KF011298,,,,
KF011299,,,,
KF011300,,,,
KF011301,,,,
KF011302,,,,
KF011303,,,,
KF011304,,,,
KF011305,,,,
KF011306,,,,
KF011307,,,,
KF011308,,,,
KF011309,,,,
KF011310,,,,
KF011311,,,,
KF011312,,,,
KF011313,,,,
KF011314,,,,
KF011315,,,,
KF011316,,,,
KF011317,,,,
KF011318,,,,
KF011319,,,,
KF011320,,,,
KF011321,,,,
KF011322,,,,
KF011323,,,,
KF011324,,,,
KF011325,,,,
KF011326,,,,
KF011327,,,,
KF011328,,,,
KF011329,,,,
KF011330,,,,
KF011331,,,,
KF011332,,,,
KF011333,,,,
KF011334,,,,
KF011335,,,,
KF011336,,,,
KF011337,,,,
KF011338,,,,
KF011339,,,,
KF011340,,,,
KF011341,,,,
KF011342,,,,
KF011343,,,,
KF011344,,,,
KF011345,,,,
KF011346,,,,
KF011347,,,,
KF011348,,,,
KF011349,,,,
KF011350,,,,
KF011351,,,,
KF011352,,,,
KF011353,,,,
KF011354,,,,
KF011355,,,,
KF011356,,,,
KF011357,,,,
KF011358,,,,
KF011359,,,,
KF011360,,,,
KF011361,,,,
KF011362,,,,
KF011363,,,,
KF011364,,,,
KF011365,,,,
KF011366,,,,
KF011367,,,,
KF011368,,,,
KF011369,,,,
KF011370,,,,
KF011371,,,,
KF011372,,,,
KF011373,,,,
KF011374,,,,
KF011375,,,,
KF011376,,,,
KF011377,,,,
KF011378,,,,
KF011379,,,,
KF011380,,,,
KF011381,,,,
KF011382,,,,
KF011383,,,,
KF011384,,,,
KF011385,,,,
KF011386,,,,
KF011387,,,,
KF011388,,,,
KF011389,,,,
KF011390,,,,
KF011391,,,,
KF011392,,,,
KF011393,,,,
KF011394,,,,
KF011395,,,,
KF011396,,,,
KF011397,,,,
KF011398,,,,
KF011399,,,,
KF011400,,,,
KF011401,,,,
KF011402,,,,
KF011403,,,,
KF011404,,,,
KF011405,,,,
KF011406,,,,
KF011407,,,,
KF011408,,,,
KF011409,,,,
KF011410,,,,
KF011411,,,,
KF011412,,,,
KF011413,,,,
KF011414,,,,
KF011415,,,,
KF011416,,,,
KF011417,,,,
KF011418,,,,
KF011419,,,,
KF011420,,,,
KF011421,,,,
KF011422,,,,
KF011423,,,,
KF011424,,,,
KF011425,,,,
KF011426,,,,
KF011427,,,,
KF011428,,,,
KF011429,,,,
KF011430,,,,
KF011431,,,,
KF011432,,,,
KF011433,,,,
KF011434,,,,
