Accession,ClosestGenotype,ClosestGenotypePident,ClosestSubtype,ClosestSubtypePident,ReferenceOverlapAA,FullyCover,CoveredNS3RASPositions
KT232408,1,79.409,1b,90.438,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232409,1,79.652,1b,90.275,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232410,1,91.601,1a,92.182,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232411,1,90.280,1a,90.491,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232412,1,77.666,1b,88.319,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232413,1,89.488,1a,89.910,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232414,1,77.983,1b,88.425,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232415,1,78.692,1b,90.751,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232416,1,78.323,1b,89.910,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232417,1,89.171,1a,90.016,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232418,1,91.072,1a,91.548,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232419,1,91.918,1a,92.552,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232420,1,79.451,1b,90.275,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232421,1,93.185,1a,93.925,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232422,1,91.653,1a,92.287,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232423,1,91.601,1a,91.918,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232424,1,90.438,1a,90.914,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232425,1,92.921,1a,93.080,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232426,1,80.169,1b,90.328,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232427,1,79.831,1b,90.433,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232428,1,78.870,1b,89.852,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232429,1,94.083,1a,94.348,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232430,1,88.167,1a,88.537,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232431,1,79.292,1b,90.433,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232432,1,78.183,1b,89.693,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232433,1,77.772,1b,88.484,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232434,1,90.597,1a,91.125,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232435,1,93.397,1a,93.819,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232436,1,91.020,1a,91.284,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232437,1,90.597,1a,91.072,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232438,1,79.652,1b,90.063,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232439,1,77.678,1b,88.742,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232440,1,79.314,1b,89.218,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232441,1,93.238,1a,93.027,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232442,1,94.400,1a,94.823,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232443,1,91.389,1a,91.812,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232444,1,93.397,1a,93.291,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232445,1,93.080,1a,93.397,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232446,1,80.317,1b,90.645,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232447,1,92.816,1a,92.763,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232448,1,93.714,1a,94.242,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232449,1,80.127,1b,90.803,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232450,1,93.238,1a,93.133,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232451,1,94.348,1a,94.189,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232452,1,80.264,1b,90.698,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232453,1,79.937,1b,90.755,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232454,1,94.295,1a,94.770,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232455,1,78.376,1b,90.069,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232456,1,93.397,1a,93.397,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232457,1,93.661,1a,93.872,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232458,1,94.453,1a,94.665,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232459,1,94.400,1a,94.083,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232460,1,94.031,1a,95.140,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232461,1,79.039,1b,90.698,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232462,1,92.921,1a,92.816,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232463,1,79.156,1b,89.799,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232464,1,91.759,1a,93.080,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232465,1,95.034,1a,94.823,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232466,1,91.125,1a,91.706,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232467,1,94.242,1a,94.876,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232468,1,93.714,1a,94.348,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232469,1,91.389,1a,92.023,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232470,1,93.608,1a,93.925,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232471,1,93.133,1a,92.921,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232472,1,92.812,1a,93.393,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232473,1,79.567,1b,90.333,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232474,1,77.772,1b,89.065,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232475,1,79.631,1b,91.332,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232476,1,79.020,1b,90.539,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232477,1,91.548,1a,91.970,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232478,1,92.604,1a,92.868,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232479,1,89.276,1a,89.910,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232480,1,79.314,1b,90.169,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232481,1,78.224,1b,89.429,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232482,1,78.387,1b,89.006,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232483,1,91.442,1a,91.548,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232484,1,78.417,1b,89.482,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232485,1,78.511,1b,89.963,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232486,1,78.997,1b,89.165,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232487,1,78.997,1b,89.958,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232488,1,78.428,1b,90.914,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232489,1,79.008,1b,89.693,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232490,1,90.597,1a,90.755,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232491,1,91.706,1a,91.970,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232492,1,80.021,1b,90.755,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232493,1,79.863,1b,91.173,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232494,1,79.261,1b,89.693,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232495,1,79.778,1b,90.433,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232496,1,92.129,1a,92.499,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232497,1,90.386,1a,90.861,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232498,1,91.918,1a,91.865,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232499,1,90.597,1a,90.808,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232500,1,79.947,1b,90.011,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232501,1,79.673,1b,89.429,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232502,1,79.747,1b,90.433,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232503,1,79.250,1b,90.698,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232504,1,89.699,1a,90.122,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232505,1,91.020,1a,91.125,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232506,1,79.494,1b,90.227,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232507,1,91.808,1a,92.125,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232508,1,77.191,1b,87.791,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232509,1,79.228,1b,89.699,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232510,1,91.231,1a,91.759,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232511,1,93.291,1a,93.450,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232512,1,79.757,1b,89.429,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232513,1,80.127,1b,90.592,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232514,1,91.072,1a,91.337,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232515,1,90.914,1a,91.495,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232516,1,90.016,1a,90.650,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232517,1,91.495,1a,92.182,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232518,1,91.389,1a,91.442,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232519,1,91.178,1a,91.759,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232520,1,92.657,1a,92.657,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232521,1,78.458,1b,90.328,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232522,1,77.965,1b,88.266,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232523,1,79.747,1b,90.645,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232524,1,79.578,1b,89.059,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232525,1,78.809,1b,89.588,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232526,1,80.201,1b,90.386,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232527,1,80.106,1b,90.491,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232528,1,79.547,1b,89.958,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232529,1,78.861,1b,89.271,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232530,1,78.089,1b,89.429,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232531,1,79.884,1b,90.222,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232532,1,79.020,1b,89.376,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232533,1,78.914,1b,89.482,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232534,1,77.227,1b,89.006,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232535,1,78.956,1b,89.171,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232536,1,80.021,1b,90.909,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232537,1,79.283,1b,90.275,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232538,1,78.986,1b,89.165,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232539,1,78.364,1b,89.006,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232540,1,78.997,1b,89.165,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232541,1,79.031,1b,89.546,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232542,1,79.852,1b,90.116,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232543,1,77.930,1b,88.273,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232544,1,79.758,1b,90.169,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232545,1,78.734,1b,88.425,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232546,1,80.285,1b,90.433,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232547,1,79.303,1b,89.435,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232548,1,78.828,1b,90.433,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232549,1,79.758,1b,90.275,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232550,1,78.820,1b,88.748,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232551,1,93.238,1a,94.295,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232552,1,90.016,1a,90.386,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232553,1,90.491,1a,90.650,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232554,1,78.481,1b,89.059,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232555,1,91.442,1a,92.129,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232556,1,90.808,1a,91.548,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232557,1,79.028,1b,89.059,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232558,1,90.227,1a,90.438,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232559,1,88.695,1a,89.012,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232560,1,79.461,1b,89.905,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232561,1,79.208,1b,90.275,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232562,1,90.386,1a,90.808,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232563,1,91.178,1a,91.653,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232564,1,78.481,1b,89.271,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232565,1,78.933,1b,89.065,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232566,1,79.092,1b,90.333,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232567,1,94.136,1a,94.876,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232568,1,80.095,1b,91.068,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232569,1,78.956,1b,90.169,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232570,1,92.023,1a,92.657,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232571,1,90.280,1a,91.072,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232572,1,79.631,1b,90.645,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232573,1,91.706,1a,92.552,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232574,1,78.681,1b,89.482,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232575,1,95.668,1a,95.351,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232576,1,78.786,1b,90.909,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232577,1,94.400,1a,94.189,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232578,1,80.179,1b,91.649,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232579,1,93.608,1a,93.714,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232580,1,79.186,1b,90.539,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232581,1,79.652,1b,90.592,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232582,1,94.612,1a,94.242,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232583,1,93.291,1a,94.136,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232584,1,78.281,1b,90.438,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232585,1,78.745,1b,90.011,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232586,1,78.861,1b,89.059,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232587,1,94.348,1a,94.717,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232588,1,91.706,1a,92.076,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232589,1,79.125,1b,90.539,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232590,1,79.947,1b,90.486,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232591,1,94.242,1a,95.087,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232592,1,78.828,1b,89.435,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232593,1,80.021,1b,91.173,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232594,1,78.797,1b,89.852,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232595,1,79.070,1b,89.540,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232596,1,79.145,1b,89.376,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232597,1,79.651,1b,89.963,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232598,1,79.894,1b,90.328,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232599,1,79.039,1b,89.958,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232600,1,77.748,1b,88.108,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232601,1,77.537,1b,87.685,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232602,1,78.224,1b,87.632,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232603,1,89.276,1a,89.805,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232604,1,79.620,1b,89.852,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232605,1,77.719,1b,88.636,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232606,1,93.819,1a,94.189,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232607,1,78.300,1b,90.011,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232608,1,93.819,1a,93.819,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232609,1,79.028,1b,90.011,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232610,1,79.620,1b,90.280,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232611,1,77.614,1b,88.378,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232612,1,78.458,1b,90.592,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232613,1,78.247,1b,90.698,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232614,1,78.775,1b,88.795,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232615,1,78.511,1b,89.218,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232616,1,77.960,1b,88.372,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232617,1,78.259,1b,89.746,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232618,1,90.967,1a,91.442,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232619,1,78.945,1b,90.116,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232620,1,91.389,1a,91.389,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232621,1,92.763,1a,92.816,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232622,1,93.397,1a,93.661,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232623,1,90.280,1a,90.650,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232624,1,78.892,1b,89.641,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232625,1,77.995,1b,89.323,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232626,1,78.564,1b,89.852,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232627,1,93.819,1a,93.661,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232628,1,90.703,1a,90.861,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232629,1,93.714,1a,94.083,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232630,1,78.828,1b,90.011,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232631,1,90.275,1a,90.856,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232632,1,78.933,1b,90.280,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232633,1,90.650,1a,90.650,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232634,1,79.020,1b,91.121,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232635,1,78.775,1b,90.222,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232636,1,79.768,1b,90.592,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232637,1,90.597,1a,90.967,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232638,1,91.548,1a,91.812,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232639,1,90.861,1a,91.020,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232640,1,93.502,1a,94.295,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232641,1,79.894,1b,90.116,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232642,1,90.386,1a,90.861,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232643,1,90.544,1a,91.653,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232644,1,78.797,1b,89.852,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232645,1,79.325,1b,90.180,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232646,1,80.011,1b,90.592,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232647,1,79.863,1b,90.962,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232648,1,91.495,1a,91.970,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232649,1,79.968,1b,89.482,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232650,1,96.144,1a,95.880,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232651,1,78.376,1b,89.852,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232652,1,79.156,1b,89.271,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232653,1,79.947,1b,90.328,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232654,1,79.736,1b,90.698,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
KT232655,1,89.435,1a,90.491,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
